user_id,first_name,last_name,date_start,date_end,ctc,net_pay,gross_pay,data_salary_basic_rate,data_salary_basic_type,currency,status,created_at
75218,"","",2022-05-01,2022-05-31,668195.33333333,668195.33,668195.33333333,15000,hourly,IDR,approved,2022-06-03 21:37:24
74053,"","",2022-05-01,2022-05-31,3592349,3592349,3592349,3500000,monthly,IDR,approved,2022-06-10 07:33:35
84541,"","",2022-05-01,2022-05-31,3980861,3980861,3980861,3500000,monthly,IDR,approved,2022-06-10 07:35:19
87864,"","",2022-05-01,2022-05-31,5111810,5111810,5111810,3500000,monthly,IDR,approved,2022-06-10 07:36:33
74052,"","",2022-05-01,2022-05-31,1837992,1837992,1837992,1800000,monthly,IDR,approved,2022-06-10 07:38:29
74049,"","",2022-05-01,2022-05-31,1920912,1920912,1920912,1800000,monthly,IDR,approved,2022-06-10 07:39:24
74050,"","",2022-05-01,2022-05-31,1801082.74,1801082.74,1801082.74,1800000,monthly,IDR,approved,2022-06-10 07:40:30
79738,"","",2022-05-01,2022-05-31,1841842.74,1841842.74,1841842.74,1800000,monthly,IDR,approved,2022-06-10 07:42:16
79765,"","",2022-05-01,2022-05-31,2317762.74,2317762.74,2317762.74,1800000,monthly,IDR,approved,2022-06-10 07:43:29
74461,"","",2022-05-01,2022-05-31,2996515,2996515,2996515,3000000,monthly,IDR,approved,2022-06-10 07:44:12
74042,"","",2022-05-01,2022-05-31,2837882.74,2837882.74,2837882.74,2750000,monthly,IDR,approved,2022-06-10 07:45:22
74556,"","",2022-05-01,2022-05-31,1741270,1741270,1741270,1800000,monthly,IDR,approved,2022-06-10 07:46:02
83885,"","",2022-05-01,2022-05-31,3007472,3007472,3007472,3000000,monthly,IDR,approved,2022-06-10 07:46:44
83884,"","",2022-05-01,2022-05-31,2988965,2988965,2988965,3000000,monthly,IDR,approved,2022-06-10 07:47:06
83902,"","",2022-05-01,2022-05-31,2722894,2722894,2722894,2810000,monthly,IDR,approved,2022-06-10 07:51:37
88348,"","",2022-05-01,2022-05-31,2632856.74,2632856.74,2632856.74,2620000,monthly,IDR,approved,2022-06-10 07:54:37
88357,"","",2022-05-01,2022-05-31,1807882.74,1807882.74,1807882.74,1920000,monthly,IDR,approved,2022-06-10 07:57:13
83888,"","",2022-05-01,2022-05-31,1824397.74,1824397.74,1824397.74,1920000,monthly,IDR,approved,2022-06-10 07:57:31
74465,"","",2022-05-01,2022-05-31,1087684,1087684,1087684,45000,daily,IDR,approved,2022-06-10 07:58:13
74639,"","",2022-05-01,2022-05-31,640000,640000,640000,40000,daily,IDR,approved,2022-06-10 07:59:00
74054,"","",2022-05-01,2022-05-31,1090835,1090835,1090835,45000,daily,IDR,approved,2022-06-10 07:59:14
90377,"","",2022-05-01,2022-05-31,1895000,1895000,1895000,1500000,monthly,IDR,approved,2022-06-10 08:00:55
90711,"","",2022-05-01,2022-05-31,1092935,1092935,1092935,65000,daily,IDR,approved,2022-06-10 08:02:58
